"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Silverstone","ML08","Console","370","87","380","12.23","321.90","3.2","Plastic","Plastic + Steel","58","-","Y","330","156","43","2","-","mITX","SFX / SFX-L","","0 to 1","1 (Slim)","-","-","-","-","-","-","-","-","-","2","-","Y","","87.99","","Link","","24 Mar 2022",""
"Silverstone","RVZ02","Console","370","87","380","12.23","321.90","3.2","Plastic","Plastic + Steel","58","-","Y","330","156","43","2","-","mITX","SFX / SFX-L","","0 to 1","1 (Slim)","-","-","-","-","-","-","-","-","-","2","-","Y","","101.99","","Link","","24 Mar 2022",""
"Cemo / 佑泽企业店","A4-SFX","Sandwich","325","145","260","12.25","471.25","","Al / Glass","2mm Al","55","120 / 240","Y","315","155","55","2","-","mITX","SFX","2","-","-","-","-","-","-","3","-","-","-","-","-","-","-","328.00","45.39","","","","",""
"iQunix Design","ZX-1 (water cool)","Sandwich","330","149","250","12.29","491.70","","Al","Al","55","120 / 240","Y","305","140","60","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","2","-","-","-","-","2","1","Y","1,699.00","359.00","","","","",""
"Critical","CP-3","Classic","322","157","245","12.39","505.54","","Acrylic","2-3mm 5052 Al","136","-","-","316","142","61","2","-","mITX","SFX","","0 to 2","-","-","-","-","1","-","-","-","-","-","2","-","Y","387.00","53.55","","","","15 May 2022",""
"Custom_Mod","Stand R1","Open","185","197","340","12.39","364.45","2","Open","2mm Al / 5mm Steel","","120 / 240","-","","","","2","-","mITX / mDTX","SFX / SFX-L","1","-","-","-","-","-","-","0 to 2","-","-","-","-","-","-","-","","79.00","","","Discontinued","15 Sep 2023",""
"Shiny Snake","S450","Sandwich","340","149","245","12.41","506.60","2.75","Mesh","Al + SPCC Steel","60","120 / 240","Y","337","","60","3","-","mITX","SFX / SFX-L","1","1","-","-","-","-","-","2","-","-","-","-","2","1","-","399.00","55.21","","","","02 Jan 2024",""
"GEEEK","G1 PRO","Sandwich","345","150","240","12.42","517.50","","Al","Al + SPCC Steel","68","120 / 240","Y","330","150","65","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","0 to 4","0 to 4","-","-","-","-","1","-","","119.00","","","","",""
"Louqe","Raw S1","Sandwich","191","172","379","12.45","328.52","3.2","Al","3.5mm 6063 Al","75","-","Y","320","145","65","3","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","1","1","-","-","-","-","1","-","","329.00","","","","",""
"Metalfish","S5 (V1)","Classic","300","160","260","12.48","480.00","1.4","Glass","2mm Al","135","-","-","290","140","80","4","-","mITX / mATX (245x220)","SFX / SFX-L","1","0 to 2","-","-","-","-","1 to 3","1 to 2","-","-","-","-","2","-","-","359.00","49.68","","","Discontinued","25 May 2023",""
