"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Lazer3D","LZX-15","Classic","363","160","265","15.39","580.80","","Acrylic","3-5mm Acrylic","135","120 / 140 / 240","-","348","140","88","4","-","mITX / mDTX / mATX","SFX / SFX-L","","0 to 6","-","-","-","0 to 2","-","4 to 6","0 to 2","-","-","-","2","1","Y","","235.73","Link","","","09 May 2023",""
"Dan Cases","C4-SFX V2","Classic","346.5","167","266","15.39","578.66","","Mesh","Al + Steel","145","120 / 140 / 240 / 2 x 240 / 280 / 2 x 280","-","338","150","88","4","-","mITX / mDTX / mATX","SFX / SFX-L","","-","-","-","-","-","1","0 to 4","0 to 4","-","-","-","1","1","Y","","223.45","Link","","Concept","27 Jan 2024",""
"FSP","CST110","Classic","350","140","315","15.44","490.00","","Steel","SPCC Steel","115","-","-","270","120","80","4","-","mITX / mATX","SFX / SFX-L","","0 to 3","-","-","2","-","-","1","-","-","-","-","2","-","Y","","49.99","","","","10 Dec 2022",""
"Custom_Mod","TX1 stl 15L","Classic","350","170","260","15.47","595.00","","Steel","1mm Steel","140","-","-","340","145","80","4","-","mITX / mATX","SFX / SFX-L / ATX","1","-","-","-","-","-","1","2","-","-","-","2","-","-","Y","","113.40","","","Discontinued","15 Sep 2023",""
"SKTC","HX BOX 100 PLUS","Classic","369","159","264","15.49","586.71","3.2","Al / Glass","2mm Al","140","-","-","340","145","80","4","-","mITX / mATX","SFX / ATX","1","0 to 1","-","-","-","0 to 3","0 to 3","1 to 2","-","-","-","-","2","-","y","299.00","41.37","","","","30 Apr 2022",""
"龙猫定制","M01","Sandwich","200","200","388","15.52","400.00","5.2","Al","Al","47","2 x 120","Y","300","","40","2","-","mITX","SFX","1","-","-","-","-","-","-","2 to 3","-","-","-","-","-","-","-","1,999.00","276.62","","","Discontinued","03 Jan 2022",""
"笨牛机箱","E15","Classic","347","160","280","15.55","555.20","","Glass","0.8-1mm Steel","135","-","-","335","140","80","4","-","mITX / mATX","SFX / ATX","1","1","-","-","-","-","6","-","-","-","-","-","1","1","-","99.00","13.70","","","","29 May 2023",""
"Mechanic Master","C26 PLUS","Classic","342","169","269","15.55","577.98","3.8","Acrylic / Al / Glass","2mm Al + 1.2mm Steel","145","120 / 140 / 240 / 280","-","335","150","80","4","-","mITX / mATX","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","3","1 to 4","0 to 2","-","-","-","1","1","-","699.00","96.73","","","","04 Apr 2023",""
"NZXT","H1 (V2)","Sandwich","196","196","405","15.56","384.16","7.6","Glass / Steel","SGCC Steel","","140","Y","324","","58","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","1","-","1","-","-","-","2","1","Y","","399.99","","Link","","09 Feb 2022",""
"Winter Design","Winter One","Sandwich","322","160","302","15.56","515.20","1.9","Al","2.5-7.5mm Al","70","120 / 140 / 240 / 2 x 240 / 280 / 2 x 280","Y","315","141","60","3","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","0 to 4","0 to 4","-","-","-","-","-","-","","379.00","Link","Link","Discontinued","10 May 2023",""
"Dream Case","D35 (V2)","Classic","350","160","278","15.57","560.00","2.02","Steel","Steel","140","-","-","350","145","80","4","-","mITX / mATX","ATX","2","0 to 2","-","-","-","-","1 to 4","2 to 4","-","-","-","-","1","-","Y","165.00","22.83","","","","25 Jun 2022",""
"Metalfish","G5 MAX","Classic","348","160","280","15.59","556.80","","Glass","0.7-1mm Steel","135","-","-","335","140","80","4","-","mITX / mATX","SFX / SFX-L / ATX","2","1","-","-","-","-","6","-","-","-","-","-","1","1","-","109.00","15.08","","","","28 Oct 2023",""
"Silverstone","MILO 12","Console","378","105","393","15.60","396.90","4.89","Steel","Plastic + Steel","77","-","Y","345","160","62","3","-","mITX","SFX / SFX-L / ATX","4","-","0 to 1 (Slim)","-","-","1","-","-","1","-","-","-","2","1","Y","","189.99","","","","15 Nov 2022",""
"Sunmilo Studio","M01 (mATX mode)","Classic","330","166","285","15.61","547.80","","Al / Glass","Al","135","120 / 240","-","325","140","80","4","-","mITX / mATX","SFX / SFX-L","2","-","-","-","-","2","-","4","-","-","-","-","1","-","-","899.00","124.40","","","","",""
"Sunmilo Studio","M01 (mITX mode)","Classic","330","166","285","15.61","547.80","","Al / Glass","Al","135","120 / 240","-","325","140","60","2","-","mITX","SFX / SFX-L","2","-","-","-","-","2","-","4","-","-","-","-","1","-","-","899.00","124.40","","","","",""
"Sunmilo Studio","M01 (Sandwich mode)","Sandwich","330","166","285","15.61","547.80","","Al / Glass","Al","","120 / 240 / 2 x 240","-","325","","60","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","4","-","-","-","-","1","-","-","899.00","124.40","","","","",""
"深圳好玩数码","Zapustar M03","Classic","355","160","275","15.62","568.00","","Glass","2mm Al","135","-","-","330","140","80","4","-","mITX / mATX","ATX","1","-","-","-","-","-","3","-","-","-","-","-","1","-","-","399.00","55.21","","","Discontinued","03 Sep 2021",""
"Phanteks","Evolv Shift XT (Air Boost)","Sandwich","371","173","244","15.66","641.83","4.2","Al + Glass","Al + Steel","72","-","Y","324","147","62","3","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","2","-","-","-","-","1","1","-","","169.99","","","","",""
"Jonsbo","A4","Sandwich","340","169","273","15.69","574.60","5.6","Glass","2-3mm Al + 1.5mm Steel","71","120 / 240","Y","325","142","59","2","-","mITX","SFX / SFX-L","2","1","-","-","-","-","-","4","-","-","-","-","1","1","-","799.00","149.00","","","","29 Jul 2023",""
"Jonsplus","BO 100","Classic","233","239","282","15.70","556.87","4.5","Glass","2mm Al + 0.8-1.5mm Steel","158.5","120","-","207","163.5","48","2","-","mITX / mDTX","SFX / SFX-L","2","1","-","-","-","-","-","1","-","-","-","-","2","1","Y","","160.00","","","","31 Mar 2024",""
"Silverstone","ML03","Console","340","440","105","15.71","1496.00","3.3","Steel","Plastic + 0.8mm SECC Steel","70","-","-","223","74","80","1","4","mITX / mDTX / mATX","ATX","","0 to 3","1","-","-","4","-","-","-","-","-","-","2","-","Y","","79.99","","","","24 Mar 2022",""
"Nouvolo","Borg","Classic","235","235","285","15.74","552.25","","Al","Al","145","92 /120","-","210","150","40","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","1","2","-","-","-","-","-","-","-","","175.00","Link","","","",""
"野望嚴選 企業店","Minichariot Z2","Classic","345","185","247","15.76","638.25","","Glass","Al + 1.5-2mm Steel","160","120 / 140 / 240 / 280","-","330","165","64","3","-","mITX / mDTX","SFX / ATX","4","0 to 2","-","-","-","-","-","2 to 3","0 to 1","-","-","-","2","-","Y","448.00","61.99","","","","15 May 2022",""
"Dream Case","D35 (V1)","Classic","350","160","282","15.79","560.00","2.02","Steel","Steel","140","-","-","350","145","80","4","-","mITX / mATX","ATX","2","0 to 1","-","-","-","-","1 to 4","0 to 2","-","-","-","0 to 2","0 to 2","-","Y","246.00","34.04","","","","25 Jun 2022",""
"Cooler Master","NCORE 100 MAX (Normal)","Sandwich","212","155","481","15.81","328.60","6.3","Al","Al + Plastic + Steel","48","120","Y","337","180","62","3","-","mITX","SFX","1","-","-","-","-","-","-","2","-","-","-","-","2","1","Y","","379.00","","","","09 Jan 2024",""
"Nouvolo","Steck v2.0 (with two top hats)","Sandwich","343","156","296","15.84","535.08","4.5","Al / Glass","2mm Al + 1mm Steel","72","120 / 240 / 2 x 240","Y","320","","63","2","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","4","-","-","-","-","-","-","-","","269.00","Link","","","12 Oct 2022",""
"Jonsbo","C6","Classic","266","202","295.2","15.86","537.32","2.3","Steel","0.7mm Steel","75","-","-","255","","80","4","-","mITX / mATX","ATX","","0 to 1","-","-","-","-","-","0 to 3","0 to 2","-","-","-","1","1","Y","","105.00","","","","15 May 2023",""
"EVGA","Hadron Air","Classic","308","169","305","15.88","520.52","","Acrylic","Steel","140","-","-","267","114.3","40","2","-","mITX","1U","","0 to 2","-","-","-","-","-","2","-","-","-","-","2","-","Y","","169.99","","","","15 Jan 2022",""
"Sliger","SM580","Sandwich","357","155","287","15.88","553.35","3.13","Acrylic / Al","2mm 5052 Al + 0.8mm SECC Steel","55","120 / 140 / 240 / 280","Y","328","157","67","3","-","mITX","SFX / SFX-L","","0 to 6","-","-","-","-","-","0 to 4","0 to 4","-","-","-","1","1","Y","","269.00","Link","Link","Discontinued","29 Nov 2021",""
"Shiny Snake","S500","Sandwich","340","170","276","15.95","578.00","4","Glass / Mesh","Al + SPCC Steel","77","120 / 240","Y","336","152","65","3","-","mITX","ATX","","0 to 1","-","-","-","-","-","2 to 3","-","-","-","-","1","1","-","499.00","69.05","","","","",""
"Dream Case","D1F-M ATX","Classic","350","160","285","15.96","560.00","","Steel","Steel","140","-","-","350","145","80","4","-","mITX / mATX","ATX","2","0 to 2","-","-","-","0 to 1","0 to 1","2 to 4","-","-","-","-","-","-","-","320.00","44.28","","","Discontinued","03 Sep 2021",""
"Raijintek","Ophion","Sandwich","375","174","245","15.99","652.50","3.14","Al / Glass","2mm Al + 0.8mm SPCC Steel","90","-","Y","338","175","58","2","-","mITX","ATX","","0 to 1","-","-","-","-","-","3","-","-","-","-","1","1","-","","124.90","","","","02 Jan 2022",""
"SKTC","Q100","Sandwich","375","174","245","15.99","652.50","3.5","Glass","Al","80","-","Y","310","","54","2","-","mITX","ATX","1","1","-","-","-","-","-","3","-","-","-","-","-","-","-","399.00","55.21","","","Discontinued","",""
"HZ MOD","Barrowch Neoclassical","Classic","334.3","187","256.8","16.05","625.14","","Wood","Steel","140","120 / 240","-","310","145","","2","-","mITX","SFX","","-","-","-","-","1?","-","2","-","-","-","-","-","-","-","1,299.00","179.75","","","Discontinued","22 Nov 2022",""
"Mini Computers","Gecko XL","Classic","333","170","284","16.08","566.10","2.1","Al / Glass","4mm Al","142","92 / 120 / 240","-","325","147","80","4","-","mITX / mATX","SFX / SFX-L / ATX","2","0 to 2","-","-","-","-","1","4 to 5","-","-","-","-","2","-","-","","165.00","","","Discontinued","",""
"Silverstone","ML04","Console","350","440","105","16.17","1540.00","4","Steel","Plastic + Steel","70","-","-","223","74","80","1","4","mITX / mDTX / mATX","ATX","","0 to 3","1","-","-","4","-","-","-","-","-","-","1 to 2","0 to 1","Y","","109.57","","","","24 Mar 2022",""
"Comino","OTTO","Sandwich","405","190","211","16.24","769.50","3.5","Al","2mm Al","","140 / 280","Y","","","","2","-","mITX","SFX","1","-","-","-","-","-","-","0 to 3","0 to 3","-","-","-","1","1","-","","276.39","","","","",""
"Mini Computers","Gecko XL V2","Classic","333","170","288","16.30","566.10","2.1","Al / Glass","4mm Al","142","92 / 120 / 240","-","325","147","80","4","-","mITX / mATX","SFX / SFX-L / ATX","2","0 to 2","-","-","-","-","1","4 to 5","-","-","-","-","2","-","-","","166.50","","","","",""
"所及上品 电脑配件 臻","艾罗拉M40 Plus","Classic","340","160","300","16.32","544.00","2","Glass","Al","130","-","-","305","135","80","4","-","mITX / mATX","SFX","1","1","-","-","-","1","-","4","-","-","-","-","1","-","-","259.00","35.84","","","Discontinued","03 Sep 2021",""
"GEEEK机箱","N601 (A mode)","Classic","330","165","300","16.34","544.50","3.5","Acrylic","Acrylic + 1214 Al frame","137","-","-","320","131","80","4","-","mITX / mATX","SFX / SFX-L","2","-","-","-","-","-","1","2 to 3","0 to 1","-","-","-","2","-","-","278.00","38.47","","","","25 Jun 2022",""
"GEEEK机箱","N601 (B mode)","Classic","330","165","300","16.34","544.50","3.5","Acrylic","Acrylic + 1214 Al frame","137","120 / 240","-","320","131","60","3","-","mITX / mATX (230x205)","SFX / SFX-L / ATX","2","-","-","-","-","-","-","2","-","-","-","-","2","-","-","278.00","38.47","","","","25 Jun 2022",""
"Thor Zone","NANOQ R","Sandwich","407","164","245","16.35","667.48","4.3","Al","Steel","51","120 / 140 / 240 / 280","Y","378","165","83","4","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","0 to 2","0 to 2","-","-","-","-","-","-","","393.12","","","","",""
"Hydra Shop","Hydra Micro","Open","293.5","155","359.5","16.35","454.93","2","Open","2mm AI + 304 Steel","","120 / 240","-","","","","","-","mITX / mDTX / mATX","ATX","","-","-","-","-","-","-","2","-","-","-","-","-","-","-","","82.59","","","","29 Nov 2021",""
"酷酷的小机箱","Mili Mini","Classic","271","164","368","16.36","444.44","","Al","1.5-3mm Al","135","120","-","262","140","80","4","-","mITX / mATX","ATX","","2 to 3","-","-","2","-","-","3","-","-","-","-","2","-","Y","380.00","52.58","","","Discontinued","12 Feb 2022",""
"Zalman","Z-Machine 300","Sandwich","330","160","310","16.37","528.00","3.8","Acrylic","Al","72","120 / 240 / 2 x 240","Y","310","","40","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","4","-","-","-","-","-","-","-","","337.49","","","","",""
"Sliger","S620","Classic","344","186","256","16.38","639.84","3.58","Acrylic / Al","2mm 5052 Al + 0.8mm Steel","165","120 / 140 / 240 / 2 x 240 / 280","-","323","170","70","3","-","mITX / mDTX","SFX / SFX-L","","0 to 3","-","-","-","-","-","1 to 9","0 to 5","-","-","-","2","-","-","","249.00","","","","12 Feb 2022",""
"XTIA","Xproto-ATX","Open","284","170","340","16.42","482.80","","Open","Al","","120 / 140 / 240 / 280","Optional","","","","8","-","mITX / mATX / ATX","ATX","3","-","-","-","-","-","-","0 to 4","0 to 4","-","-","-","-","-","-","980.00","185.00","Link","","","15 Jun 2022",""
"SKTC","Q2","Classic","300","193","285","16.50","579.00","2.8","Al / Glass","1.5-4mm Al + 0.8mm steel","160","120","-","270","165","60","3","-","mITX / mATX (240x195)","SFX / ATX","","0 to 1","-","-","-","-","-","3","-","-","-","-","2","-","Y","239.00","33.07","","","","03 Sep 2021",""
"托马霍克数码专营店","小蜜蜂","Classic","270","175","350","16.54","472.50","","Steel","0.45mm SPCC Steel","150","120 / 240","-","260","155","80","4","-","mITX / mATX","ATX","","0 to 1","-","-","-","1","-","3","-","-","-","2","-","-","Y","48.99","6.78","","","Discontinued","30 Apr 2022",""
"Jonsbo","UMX1 Plus","Classic","300","160","345","16.56","480.00","3.85","Acrylic / Al","2mm Al + 0.8-1mm SGCC Steel","130","-","-","270","135","40","2","-","mITX","ATX","","0 to 1","-","-","-","1","-","1","-","-","-","2","2","-","Y","499.00","85.50","","","","29 Nov 2021",""
"Mini Computers","Gecko Air ATX","Open","333","153","326","16.61","509.49","1.4","Open","4mm Al","","120 / 240 / 360","-","","","140","7","-","mITX / mATX / ATX","SFX / SFX-L","1","-","-","-","-","-","-","0 to 3","0 to 1","-","-","-","2","-","-","","105.00","","","","",""
"Kolink","Rocket Heavy","Sandwich","350","180","265","16.70","630.00","4.75","Glass","Al + Steel","85","120 / 240","Y","340","","60","3","-","mITX","SFX / SFX-L","2","1","-","-","-","-","-","3","-","-","-","2","2","1","Y","","141.60","","","","",""
"Fractal Design","Era ITX","Classic","325","166","310","16.72","539.50","3.97","Glass / Mesh / Wood","Al","120","120 / 2 x 120 / 240","-","295","125","47","2","-","mITX","SFX / SFX-L / ATX","","0 to 2","-","-","-","1","-","2","0 to 2","-","-","-","2","1","Y","","159.99","","Link","","",""
"Mini Computers","Gecko 320","Classic","333","190","267","16.89","632.70","3","Al","4mm Al","160","-","-","320","165","65","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","6","-","-","-","-","2","-","-","","165.30","","","","15 May 2022",""
"U-NAS","NSC-810","NAS","315","275","197","17.07","866.25","5.33","Al","Steel","40","-","-","","","","1","-","mITX","Flex ATX / 1U","3","8","-","-","-","-","-","2","-","-","-","1","2","-","Y","","209.00","","","","18 Apr 2023",""
"U-NAS","NSC-810A","NAS","315","275","197","17.07","866.25","5.6","Al","Steel","60","-","-","","","","2","-","mITX / mDTX / mATX","Flex ATX / 1U","1","8","-","-","1","-","-","2","-","-","-","2","1","-","Y","","219.00","","","","",""
"酷冷魔神","X90 Pro","Classic","375","158","290","17.18","592.50","","Acrylic / Steel","1.2-1.5mm Steel","140","120 / 240","-","360","145","80","4","-","mITX / mATX","SFX / SFX-L / ATX","1","-","-","-","-","-","6","2","-","-","-","-","1","-","-","209.00","28.92","","","","28 Mar 2024",""
"爱国者DIY京东自营官方旗舰店","爱国者 Aigo YOGO S1","Classic","238.8","175","412","17.22","417.90","5.6","Steel","0.8mm SECC Steel","134","120 / 240","-","320","147","61","2","-","mITX","SFX / SFX-L","2","1","-","-","-","-","1","2","-","-","-","-","2","1","Y","459.00","63.52","","","","30 Apr 2022",""
"darkFlash","DLH 21","Classic","238.8","175","412","17.22","417.90","5.6","Steel","0.8mm SECC Steel","134","120 / 240","-","320","147","61","2","-","mITX","SFX / SFX-L","2","1","-","-","-","-","1","2","-","-","-","-","2","1","Y","","146.00","","","","16 Oct 2023",""
"Golden Field","N-1","Classic","328","260","202","17.23","852.80","2","Steel","Plastic + 0.5mm Steel","165","120","-","280","170","60","2","-","mITX / mATX (226x180)","ATX","","0 to 3","-","-","-","-","-","1","-","-","-","-","2","-","Y","","47.99","","","","24 Mar 2022",""
"Golden Field","N-2S","Classic","328","260","202","17.23","852.80","","Al","Al + Steel","165","120","-","280","170","60","2","-","mITX / mATX (226x180)","ATX","","0 to 3","-","-","-","-","-","1","-","-","-","-","2","-","Y","","65.90","","","","",""
"Kolink","Satellite","Classic","328","260","202","17.23","852.80","2","Steel","Plastic + 0.5mm Steel","165","120","-","280","170","60","2","-","mITX / mATX (226x180)","ATX","","0 to 3","-","-","-","-","-","1","-","-","-","-","2","-","Y","","48.40","","","","24 Mar 2022",""
"Kolink","Satellite Plus","Classic","328","260","202","17.23","852.80","","Al","Al + Steel","165","120","-","280","170","60","2","-","mITX / mATX (226x180)","ATX","","0 to 3","-","-","-","-","-","1","-","-","-","-","2","-","Y","","","","","","05 Jun 2022",""
"GEEEK机箱","M8","Classic","335","167","308","17.23","559.45","3.5","Acrylic","1.5mm Al + 1mm SPCC Steel","137","120 / 240","-","335","142","80","4","-","mITX / mATX","SFX / SFX-L / ATX","","0 to 1","-","-","-","-","4","2","-","-","-","-","2","-","-","298.00","41.24","","","","22 Nov 2022",""
"Warhead Design","Toriel XL MK2","Sandwich","320","200","270","17.28","640.00","3.5","Acrylic / Al","Al + Steel","130","120 / 240","Y","332","150","56","2","-","mITX / mATX","ATX","2","2","-","-","-","2","-","4","-","-","-","-","2","-","-","299.00","41.37","","","Discontinued","10 May 2023",""
"ssupd","Meshroom S (with extender bracket)","Sandwich","287","167","362","17.35","479.29","3.8","Mesh","Steel","73","120 / 140 / 240 / 280 / 240 + 280","Y","336","155","80","7","-","mITX / mDTX / mATX / ATX","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","-","0 to 5","0 to 2","-","-","2","2","1","Y","","219.99","","","","01 Aug 2023",""
"ssupd","Meshroom D (with extender bracket)","Classic","363","167","287","17.40","606.21","3.8","Mesh","Steel","142","120 / 140 / 240 / 280","-","337","136","94","3","-","mITX / mDTX / mATX","SFX / SFX-L / ATX","6","2 to 3","-","-","-","0 to 1","0 to 1","0 to 4","0 to 4","-","-","2","2","1","Y","","169.99","","","","01 Aug 2023",""
"Lian Li","PC-Q50","Classic","360","170","285","17.44","612.00","","Al","Al","150","-","-","320","155","40","2","-","mITX","SFX / SFX-L","2","2","-","-","-","-","-","1","-","-","-","-","2","1","Y","","","","","Discontinued","05 Jun 2022",""
"Phanteks","Evolv Shift XT (Liquid Cooled)","Sandwich","371","173","272","17.46","641.83","4.2","Al + Glass","Al + Steel","72","120 / 240","Y","324","147","62","3","-","mITX","SFX / SFX-L","1","-","-","-","-","-","-","2","-","-","-","-","1","1","-","","169.99","","","","",""
"Streacom","DA2","Classic","340","180","286","17.50","612.00","3.9","Al","6063 Al","145","120 / 140 / 240 / 280","-","330","150","50","2","-","mITX / mDTX","SFX / SFX-L / ATX","","0 to 3","-","Variable","Variable","Variable","Variable","Variable","Variable","-","-","-","-","1","-","","259.00","","","","02 Jan 2022",""
"SGPC","K88 (V3)","Classic","270","159","408","17.52","429.30","","Glass","2-3mm Al","135","120 / 240","-","335","140","80","4","-","mITX / mATX","SFX / ATX","2","1","-","-","-","-","6","2","-","-","-","-","1","1","-","259.00","35.84","","","","15 May 2023",""
"Cooler Master","NCORE 100 MAX (Expanded)","Sandwich","212","172","481","17.54","364.64","6.3","Al","Al + Plastic + Steel","48","120","Y","357","180","79","3","-","mITX","SFX","1","-","-","-","-","-","-","2","-","-","-","-","2","1","Y","","379.00","","","","09 Jan 2024",""
"REVOCCASES","RCC-BIG2 (17.5L)","Classic","255","186","370","17.55","474.30","","Al","Al","158","140 / 280","-","340","163","67","3","-","mITX / mDTX","SFX / SFX-L","","-","-","-","-","-","-","1","5","-","-","-","-","-","-","","142.80","Link","","Discontinued","",""
"Louqe","Ghost R1","Classic","354","187","266","17.61","661.98","","Al","Al + Steel","165","120 / 140 / 240 / 280 / 240 + 280","-","348","170","80","3","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","1 to 7","0 to 6","-","-","-","-","-","-","","250.00","","","Prototype","13 Nov 2023",""
"Jonsbo","V9","Classic","337","165","317","17.63","556.05","2.7","Glass","Al + Steel","133","-","-","290","138","80","4","-","mITX / mATX","SFX / SFX-L","","0 to 1","-","-","-","-","1","4","-","-","-","-","2","-","Y","249.00","34.46","","","","15 May 2023",""
"Silverstone","FT03-MINI","Classic","235.1","188.9","397","17.63","444.10","4.7","Al","Al + Steel","82","-","-","254","129","40","2","-","mITX / mDTX","SFX","2","1","1 (Slot)","-","-","-","-","-","1","-","-","-","2","-","Y","","115.00","","","Discontinued","02 Jan 2022",""
"Artesian Builds","Pluto","Console","360","142","345","17.64","511.20","","Al","Al","110","120 / 140 / 240 / 280","Y","315","","50","2","-","mITX","SFX / SFX-L","10","-","-","-","2","-","-","1 to 3","0 to 2","-","-","-","-","-","-","","288.00","Link","","Discontinued","27 Jul 2022",""
"Cooler Master","MasterCase H100","Classic","278","216","294","17.65","600.48","2.66","Steel","Plastic + Steel","83","120 / 140 / 200","-","210","","40","2","-","mITX","ATX","","0 to 1","-","-","-","-","-","0 to 1","0 to 1","-","1","-","2","-","Y","","70.00","","Link","","24 Mar 2022",""
"Norco","ITX-S8","NAS","259","203","337","17.72","525.77","5.4","Al","Steel","50","-","-","","","","1","-","mITX","Flex ATX / 1U","1","8","-","-","-","2","-","-","-","-","-","1","1","-","-","","230.00","","","Discontinued","02 Jan 2022",""
"Warhead Design","LP-matx","Classic","338","185","285","17.82","625.30","2.2","Steel","Steel","155","120 / 240 / 3 x 240","-","330","160","80","4","-","mITX / mATX","SFX / SFX-L / ATX","","0 to 1","-","-","-","-","-","3 to 7","0 to 2","-","-","-","1","-","Y","379.00","52.45","","","Discontinued","29 Dec 2021",""
"Sliger","SV590","Sandwich","247","154","472","17.95","380.38","4.74","Steel","0.8-1.6mm Steel","55","120 / 240 / 360","Y","390","160","68","3","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","3","-","-","-","-","-","-","-","","269.00","Link","Link","Discontinued","29 Nov 2021",""
"Sliger","SV590 V2","Sandwich","247","154","472","17.95","380.38","4.74","Steel","0.8-1.6mm Steel","55","120 / 140 / 240 / 280 / 360","Y","390","160","68","3","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","0 to 3","0 to 3","-","-","-","-","-","-","","259.00","Link","Link","Discontinued","02 Jan 2022",""
"Mechanic Master","C28","Classic","342","185","284","17.97","632.70","5.5","Al / Glass","2mm Al + 1mm Steel","162","120 / 140 / 240 / 280","-","335","167","80","4","-","mITX / mATX","ATX","","0 to 1","-","-","-","","1 to 5","0 to 4","-","-","-","-","1","1","-","799.00","110.56","","","","08 Jun 2022",""
"Chieftec","Pro Cube Mini","Classic","356","260","195","18.05","925.60","3.79","Steel","0.8mm SPCC Steel","145","120","-","320","150","40","2","-","mITX","ATX","2","3","1 (Slim)","-","-","-","-","1","-","-","-","-","2","-","Y","","","","","","16 Jun 2022",""
"Jonsbo","N3","NAS","262","233","298","18.19","610.46","3.9","Al","2mm Al + 1mm Steel","130","-","-","250","135","40","2","-","mITX","SFX","1","8","-","-","-","2","2","-","-","-","-","-","1","1","Y","","","","","","30 Jul 2023",""
"Jonsbo","V10","Sandwich","344","174","304","18.20","598.56","3","Al / Glass","Al","75","120 / 240","Y","330","","60","2","-","mITX","SFX / SFX-L / ATX","2","-","-","-","-","-","-","4","-","-","-","-","1","1","Y","399.00","55.86","","","","",""
"COOJ","Z18 (window)","Classic","340","170","315","18.21","578.00","6","Window","Al","138","120 / 240","-","315","143","80","4","-","mITX / mATX","SFX / SFX-L","","2 to 3","-","-","-","-","1","4","-","-","-","-","1","1","-","1,799.00","248.94","","","","18 Feb 2023",""
"COOJ","Z18 (vented)","Classic","340","170","315","18.21","578.00","6","Al","Al","138","120 / 240","-","315","143","80","4","-","mITX / mATX","SFX / SFX-L","","2 to 3","-","-","-","-","1","4","-","-","-","-","1","1","-","1,799.00","248.94","","","","18 Feb 2023",""
"Cooler Master","MasterBox NR200","Classic","360","185","274","18.25","666.00","4.6","Steel","Mesh + Plastic + SGCC Steel","155","92 / 120 / 140 / 240 / 280","-","330","156","70","5","-","mITX / mDTX / mATX (226x244)","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","1","2 to 6","0 to 2","-","-","-","2","-","Y","","80.00","","Link","","24 Mar 2022",""
"Cooler Master","MasterBox NR200P","Classic","360","185","274","18.25","666.00","5.1","Glass / Steel","Mesh + Plastic + SGCC Steel","155","92 / 120 / 140 / 240 / 280","Optional","330","156","70","5","-","mITX / mDTX / mATX (226x244)","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","1","2 to 6","0 to 2","-","-","-","2","-","Y","","100.00","","Link","","11 Jan 2024",""
"Cooler Master","MasterBox NR200P V2","Sandwich","360","185","274","18.25","666.00","4.35","Glass / Steel","Mesh + Plastic + SGCC Steel","67","120 / 140 / 240 / 280","Y","357","160","73","3","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","1 to 4","0 to 2","-","-","-","2","1","Y","","149.00","","","","28 Feb 2024",""
"Streacom","DB4","Classic","260","260","270","18.25","676.00","7.5","Al","4mm 6063 Al","","-","-","200","116","40","2","-","mITX","DC-ATX / Flex ATX","","0 to 5","1 (Slot)","-","-","-","-","-","-","-","-","-","2","-","-","","325.00","","","","",""
"mcprue","Apollo S 3.0","Classic","374","185","264","18.27","691.90","3.5","Al","6063 Al","155","140 / 280","-","345","143","75","3","-","mITX / mDTX","SFX / SFX-L","2","1","-","-","-","-","1","0 to 1","4 to 5","-","-","-","-","2","-","2,499.00","439.00","","","","27 Aug 2023",""
"Cooler Master","NR200P MAX","Sandwich","361","185","274","18.30","667.85","7.7","Glass / Steel","Mesh + Plastic + SGCC Steel","67","120 / 140 / 240 / 280","Y","336","160","75","3","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","1 to 4","0 to 2","-","-","-","2","-","Y","","349.00","","","","09 Jan 2024",""
