"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"柏越科技","M99","Sandwich","290","120","280","9.74","348.00","","Acrylic / Al","Al","65","-","Y","285","?","42","2","1","mITX / mATX","Flex ATX","","0 to 1","-","-","-","-","-","2","-","-","-","-","-","-","-","299.00","41.37","","","Discontinued","",""
"LZmod","DS-A4-V1","Sandwich","332","140","210","9.76","464.80","","Al / Glass","Al","64.62","-","Y","318","?","55","2","-","mITX","SFX","3","-","-","-","-","-","-","2","-","-","-","-","2","-","Y","899.00","124.40","","","Discontinued","21 Jul 2023",""
"魔神科技电脑机箱城","飞优浦 T90","Classic","278","160","220","9.79","444.80","2.5","Al","Al","120","-","-","255","140","42","2","-","mITX","SFX","2","1","-","-","-","1","-","-","-","-","-","-","-","-","-","599.00","82.89","","","Discontinued","",""
"InWin","BP655","Classic","355","103","268","9.80","365.65","","Steel","Steel","75","-","-","186","85","20","-","1","mITX","TFX","2","-","1","-","-","1","-","-","-","-","-","0 to 2","0 to 2","-","Y","-","","","","","28 Sep 2021",""
"InWin","BP691","Classic","355","103","268","9.80","365.65","","Steel","Steel","75","-","-","186","85","20","-","1","mITX","TFX","2","-","1","-","-","1","-","-","-","-","-","0 to 2","0 to 2","-","Y","-","","","","","28 Sep 2021",""
"LZmod","II-33 (air cooling)","Sandwich","326","140","215","9.81","456.40","3.5","Al / Glass","4mm 6061-T6 Al","66","120 / 240 /w top hat","Y","318","155","56","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1,299.00","179.75","","","","09 Oct 2021",""
"Kyle's Studio","K02","Sandwich","315","130","240","9.83","409.50","","Glass","6061 Al","55","120 / 240","Y","306","140","54","2","-","mITX","SFX","3","-","-","-","-","-","-","2","-","-","-","-","-","-","-","689.00","95.34","","","Discontinued","15 Sep 2021",""
"REVOCCASES","RCC-MID2","Sandwich","180","140","390","9.83","252.00","","Al","Al","53","120","Y","305","155","60","3","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","108.30","","","Discontinued","22 Nov 2022",""
"ZS Cases","ZS-A4 V3 (with 36mm top hat)","Sandwich","320","134","230","9.86","428.80","2.1","Al","4mm Al","65","120 / 240 /w top hat","Y","314.5","133","59","2","-","mITX","SFX","","-","-","-","-","-","-","1 to 3","-","-","-","-","-","-","-","849.00","170.00","","Link","","03 Sep 2021",""
"AKLLA","A4 V2 (air cool)","Sandwich","335","155","190","9.87","519.25","2.5","Al","2mm 6061 Al + 2mm Steel","75","-","Y","330","140","58","2","-","mITX","SFX / SFX-L / ATX","5","-","-","-","-","-","-","0 to 2","0 to 2","-","-","-","-","-","-","499.00","69.05","","","","",""
"Dream Case","D1U-M","Sandwich","270","126","290","9.87","340.20","","Steel","Steel","58","-","Y","268","160","50","2","-","mITX / mATX","Flex ATX / 1U","2","-","-","-","-","2","-","-","-","-","-","-","-","-","-","230.00","31.83","","","Discontinued","03 Jan 2022",""
"GJ","G-TS1","Classic","278","163","218","9.88","453.14","","Al","Al","132","-","-","270","120","42","2","-","mITX","SFX","2","-","-","-","-","-","1","-","-","-","-","-","-","-","-","499.00","69.05","","","Discontinued","",""
"GEEEK","A50 Plus","Sandwich","330","140","214","9.89","462.00","","Acrylic","Acrylic + Al frame","66","-","Y","305","147","48","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","2 to 3","-","-","-","-","-","2","-","-","-","69.00","","Link","","",""
"电竞艾派官方店","X5","Sandwich","330","143","210","9.91","471.90","","Acrylic / Al","Al","65","-","Y","320","140","55","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","2","-","-","-","-","-","1","-","-","169.00","23.39","","","Discontinued","06 Oct 2023",""
"Mechanic Master","C24 (V2)","Classic","249","160","249","9.92","398.40","2.5","Glass","2mm Al + 1mm steel","135","-","-","245","135","60","3","-","mITX / mATX (225x175)","SFX / SFX-L","","0 to 1","-","-","-","0 to 4","1","0 to 2","-","-","-","-","1 to 2","0 to 1","-","399.00","55.21","","","","08 Feb 2023",""
"Cubeor","Aski 2","Classic","208","162","295","9.94","336.96","1.3","Wood","Al + Wood","141","-","-","195","146","48","2","-","mITX","SFX / SFX-L","2","-","-","-","-","2","-","2 to 3","0 to 1","-","-","-","-","-","-","-","128.94","","","","27 May 2023",""
"FormD","T1 Reference V2.1","Classic","335","135","220","9.95","452.25","2.5","Al","1.5-15mm 6000 Series Al + 1-2mm Steel","115","120 / 140 / 240 / 280","-","325","112","45","2","-","mITX / mDTX","SFX / SFX-L","","-","-","-","-","-","-","2 to 4","0 to 2","-","-","-","-","0 to 1","-","-","175.00","Link","","FormD Lore","28 Feb 2024",""
"FormD","T1 Sandwich V2.1","Sandwich","335","135","220","9.95","452.25","2.5","Al","1-16mm 6000 Series Al + 1-2mm Steel","88","120 / 140 / 240 / 2 x 240 / 280 / 240 + 280","Y","325","140","65","3","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","2 to 4","0 to 2","-","-","-","-","0 to 1","-","-","195.00","Link","","FormD Lore","29 Jan 2024",""
"NCase","T1 Sandwich V2.5","Sandwich","335","135","220","9.95","452.25","2.5","Al","1.5-15mm 6000 Series Al + 1-2mm Steel","88","120 / 140 / 240 / 2 x 240 / 280 / 240 + 280","Y","325","140","65","3","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","2 to 4","0 to 2","-","-","-","-","0 to 1","-","-","185.00","Link","","FormD Lore","",""
"瑞创意","MC3 / WS19 (320 version)","Sandwich","","","320","9.95","311.03","3.2","Al","6063 / 5052 Al","75","120","Y","269","112","42","2","-","mITX","SFX","2","-","-","0 to 2","-","0 to 1","-","-","1","-","-","-","-","-","-","1,758.00","243.27","","","","",""
"广州玩家部落","GR-A07","Classic","273","160","228","9.96","436.80","","Glass","1.5-2mm Al","135","-","-","265","135","40","2","-","mITX","SFX / SFX-L","3","-","-","-","-","2","-","-","-","-","-","-","1","-","-","179.00","24.77","","","","",""
"ZS Cases","ZS-ST V1","Sandwich","228","134","326","9.96","305.52","2.7","Al","1.5-3mm 6061-T6 Al","48","120 / 240","Y","322","147","60","2","-","mITX","SFX","","0 to 2","-","-","-","-","-","2","-","-","-","-","1","1","-","1,099.00","167.00","","Link","","",""
"Goldenfield/金河田","MATE 1S","Sandwich","318","142","221","9.98","451.56","","Al","Al","55","-","Y","290","?","40","2","-","mITX","SFX","5","0 to 1","-","-","-","-","-","2","-","-","-","-","2","-","-","469.00","64.90","","","Discontinued","",""
"白菜哥的itx小店","X64 V2 (Standard)","Classic","280","155","230","9.98","434.00","2.6","Acrylic / Al","1.5-5mm 6063 Al","134","-","-","270","135","53","2","-","mITX / mDTX","SFX / SFX-L","","0 to 1","-","-","-","1","1","-","-","-","-","-","2","-","-","599.00","82.89","","","Discontinued","",""
"InWin","BP671","Classic","362","103","268","9.99","372.86","","Steel","Steel","75","-","-","186","85","20","-","1","mITX","TFX","2","-","1","-","-","1","-","-","-","-","-","0 to 2","0 to 2","-","Y","-","","","","","28 Sep 2021",""
"Colin Reay","MK1","Classic","196","173","295","10.00","339.08","","Acrylic","3-5mm Acrylic","145","120 / 140","-","180","130","52","2","-","mITX","SFX / SFX-L","10","-","-","-","-","0 to 2","0 to 1","0 to 1","0 to 1","-","-","-","-","-","-","-","50.00","Link","","Discontinued","22 Nov 2022",""
"机械库","JXK-J1","Open","200","","","","","2","Open","Steel","","120","-","Open","Open","40","2","-","mITX / mDTX","SFX / ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","699.00","96.73","","","","30 Apr 2022",""
