"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Custom_Mod","SLM3 lm 7.4L rev.2","Console","308","71","340","7.44","218.68","","Al","2mm Al","50","120","Y","300","135","60","3","-","mITX","SFX / SFX-L","","-","-","-","0 to 2","-","-","0 to 1","-","-","-","-","2","-","-","-","185.00","","","Discontinued","15 Sep 2023",""
"Shiny Snake","S200","Sandwich","190","145","270","7.44","275.50","2","Mesh","Al + SPCC Steel","75","-","Y","180","130","45","2","-","mITX","SFX","2","-","-","-","-","-","-","1","-","-","-","-","1","-","-","259.00","35.84","","","","16 Oct 2023",""
"SGPC","K66 (V1)","Classic","194","165","234","7.49","320.10","1.5","Glass","1.5-2mm Al","55","-","-","190","133","60","3","-","mITX / mATX (226x190)","ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","229.00","31.69","","","Discontinued","26 Dec 2021",""
"pccooler超频三旗舰店","超频三蜂鸟I100","Sandwich","308","128","190","7.49","394.24","1.6","Acrylic","Al","60","-","Y","300","?","43","2","-","mITX","SFX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","199.00","27.54","","","","",""
"pccooler超频三旗舰店","超频三蜂鸟I100 PRO","Sandwich","308","128","190","7.49","394.24","2.7","Al","Al","60","-","Y","300","?","48","2","-","mITX","SFX","1","0 to 1","-","-","-","-","-","-","-","-","-","-","1","0 to 1","-","299.00","41.37","","","","27 Dec 2021",""
"Midori Computer","Midori 7.5L","Sandwich","306","125","196","7.50","382.50","","Al","Al + Steel","51","-","Y","300","143","45","2","-","mITX","SFX","1","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","97.98","","","","",""
"AKLLA","A3","Sandwich","195","140","275","7.51","273.00","2","Al / Glass","2mm Al + 1mm Steel","70","120 /w top hat","Y","190","?","45","2","-","mITX","SFX","","0 to 1","-","-","-","0 to 1","-","0 to 2","0 to 1","-","-","-","-","1","-","499.00","69.05","","","","09 May 2022",""
"Chieftec","BU-12B","Classic","290","92.5","280","7.51","268.25","4.2","Steel","0.5mm SECC Steel","65","-","-","150","70","40","-","2","mITX","TFX","","0 to 1","1 (Slim)","-","-","1","-","-","-","-","-","-","2","-","Y","-","","","","","25 May 2023",""
"Custom_Mod","SX2 7.5L","Sandwich","308","122","200","7.52","375.76","1.2","Al / Steel","Al / Steel","48","-","Y","305","?","44","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","1 to 2","-","-","-","-","-","-","-","-","-","102.06","","","","09 May 2022",""
"GEEEK","A30 V2","Sandwich","238","125","253","7.53","297.50","","Acrylic","Acrylic + Al frame","50","-","Y","211","135","45","2","-","mITX","Flex ATX","1","-","-","-","-","-","2","-","-","-","-","-","2","-","-","-","59.00","","Link","","",""
"Metalfish","T60","Sandwich","310","128","190","7.54","396.80","1.62","Acrylic","1-1.5mm SPCC Steel","60","-","Y","300","?","44","2","-","mITX","SFX","","-","-","-","-","-","-","-","-","-","-","-","1","-","-","159.00","22.00","","","Discontinued","21 Jul 2023",""
"LZmod","F1-SFX","Sandwich","188","148","271","7.54","278.24","2","Al","4mm Al","74.5","-","Y","180","?","40","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","1","-","-","-","-","2","-","-","755.00","104.48","","","","23 Jun 2022",""
"ZS Cases","ZS-A4 V2","Sandwich","316","129","185","7.54","407.64","1.7","Al","6061-T6 Al","60","-","Y","311","141","54.5","2","-","mITX","SFX","","-","-","-","-","-","0 to 1","0 to 1","-","-","-","-","1","-","-","799.00","151.00","","Link","","03 Sep 2021",""
"Metalfish","T40","Sandwich","212","137","260","7.55","290.44","1.59","Acrylic","1-1.5mm steel","70","-","Y","200","?","40","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","-","-","-","-","1","1","-","Y","129.00","17.85","","","","22 Mar 2024",""
"HZ MOD","XQ69 V4.1/V4.4","Console","323","69","339","7.56","222.87","4.9","Steel","Q235 steel","50","120","Y","320","148","55","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","0 to 1","-","-","-","-","0 to 2","-","-","749.00","103.64","","","","30 Apr 2022",""
"CHCC","A4V","Sandwich","300","120","210","7.56","360.00","2","Acrylic","Al","55","-","Y","290","?","40","2","-","mITX","Flex ATX","","-","-","-","-","-","-","2","-","-","-","-","-","-","-","138.00","19.10","","","Discontinued","30 Apr 2022",""
"Formula Case","X1","Sandwich","310","134","182","7.56","415.40","2.6","Al / Glass","4mm Al","65","120 / 240 /w top hat","Y","306","130","46","2","-","mITX","SFX / SFX-L","6","0 to 1","-","-","-","-","-","0 to 2","-","-","-","-","-","-","-","1,388.00","192.07","","","Discontinued","",""
"ZS Cases","ZS-A4L V1","Sandwich","196","140","277","7.60","274.40","","Al","6061-T6 Al","75","-","Y","190","150","42","2","-","mITX","SFX / SFX-L","","-","-","-","-","-","-","1","-","-","-","-","-","-","-","699.00","96.73","","Link","","",""
